species,size,fragrance,height_cm,petal_length,petal_width,sepal_length,sepal_width
hibiscus,large,none,182.59,9.1295,7.3036,127.813,54.777
rose,medium,mild,42.35,2.1175,1.694,29.645,12.705
rose,medium,strong,92.7,4.635,3.708,64.89,27.81
hibiscus,large,none,140.42,7.021,5.6168,98.294,42.126
rose,small,strong,73.62,3.681,2.9448,51.534,22.086
hibiscus,large,none,106.44,5.322,4.2576,74.508,31.932
hibiscus,large,none,152.54,7.627,6.1016,106.778,45.762
rose,small,mild,56.39,2.8195,2.2556,39.473,16.917
rose,medium,mild,51.89,2.5945,2.0756,36.323,15.567
shoeblack plant,large,none,140.87,7.0435,5.6348,98.609,42.261
hibiscus,large,none,191.02,9.551,7.6408,133.714,57.306
shoeblack plant,large,mild,123.54,6.177,4.9416,86.478,37.062
hibiscus,large,none,103.37,5.1685,4.1348,72.359,31.011
shoeblack plant,large,mild,108.42,5.421,4.3368,75.894,32.526
hibiscus,large,none,115.27,5.7635,4.6108,80.689,34.581
rose,small,mild,41.38,2.069,1.6552,28.966,12.414
hibiscus,large,none,167.74,8.387,6.7096,117.418,50.322
hibiscus,large,none,121.64,6.082,4.8656,85.148,36.492
shoeblack plant,medium,none,60.95,3.0475,2.438,42.665,18.285
rose,small,mild,67.46,3.373,2.6984,47.222,20.238
hibiscus,large,none,143.66,7.183,5.7464,100.562,43.098
shoeblack plant,medium,mild,51.28,2.564,2.0512,35.896,15.384
rose,small,strong,45.32,2.266,1.8128,31.724,13.596
rose,medium,mild,34.37,1.7185,1.3748,24.059,10.311
rose,medium,mild,67.34,3.367,2.6936,47.138,20.202
rose,medium,strong,61.17,3.0585,2.4468,42.819,18.351
shoeblack plant,large,mild,126.57,6.3285,5.0628,88.599,37.971
rose,medium,mild,35.08,1.754,1.4032,24.556,10.524
shoeblack plant,large,mild,133.19,6.6595,5.3276,93.233,39.957
rose,medium,mild,96.96,4.848,3.8784,67.872,29.088
hibiscus,large,none,132.95,6.6475,5.318,93.065,39.885
rose,small,strong,45.65,2.2825,1.826,31.955,13.695
hibiscus,large,none,170.7,8.535,6.828,119.49,51.21
rose,medium,mild,93.46,4.673,3.7384,65.422,28.038
hibiscus,large,none,119.22,5.961,4.7688,83.454,35.766
rose,medium,mild,56.36,2.818,2.2544,39.452,16.908
rose,medium,strong,91.23,4.5615,3.6492,63.861,27.369
rose,medium,mild,85.4,4.27,3.416,59.78,25.62
rose,small,strong,35.32,1.766,1.4128,24.724,10.596
hibiscus,large,none,146.9,7.345,5.876,102.83,44.07
shoeblack plant,medium,none,83.93,4.1965,3.3572,58.751,25.179
hibiscus,large,none,117.28,5.864,4.6912,82.096,35.184
hibiscus,large,none,160.97,8.0485,6.4388,112.679,48.291
rose,medium,strong,84.56,4.228,3.3824,59.192,25.368
hibiscus,large,none,180.93,9.0465,7.2372,126.651,54.279
rose,small,mild,51.39,2.5695,2.0556,35.973,15.417
rose,small,strong,89.42,4.471,3.5768,62.594,26.826
rose,small,strong,77.74,3.887,3.1096,54.418,23.322
rose,medium,mild,96.97,4.8485,3.8788,67.879,29.091
rose,medium,strong,43.84,2.192,1.7536,30.688,13.152
shoeblack plant,large,none,135.77,6.7885,5.4308,95.039,40.731
rose,medium,mild,88.81,4.4405,3.5524,62.167,26.643
hibiscus,large,none,177.57,8.8785,7.1028,124.299,53.271
rose,small,mild,44.99,2.2495,1.7996,31.493,13.497
hibiscus,large,none,186.69,9.3345,7.4676,130.683,56.007
hibiscus,large,none,186.62,9.331,7.4648,130.634,55.986
rose,small,mild,41.7,2.085,1.668,29.19,12.51
hibiscus,large,none,193.39,9.6695,7.7356,135.373,58.017
rose,small,strong,45.24,2.262,1.8096,31.668,13.572
shoeblack plant,medium,mild,107.01,5.3505,4.2804,74.907,32.103
hibiscus,large,none,157.78,7.889,6.3112,110.446,47.334
hibiscus,large,none,157.37,7.8685,6.2948,110.159,47.211
shoeblack plant,large,none,95.91,4.7955,3.8364,67.137,28.773
shoeblack plant,large,none,88.58,4.429,3.5432,62.006,26.574
hibiscus,large,none,191.8,9.59,7.672,134.26,57.54
shoeblack plant,medium,none,65.94,3.297,2.6376,46.158,19.782
hibiscus,large,none,161.62,8.081,6.4648,113.134,48.486
hibiscus,large,none,187.24,9.362,7.4896,131.068,56.172
rose,small,mild,51.2,2.56,2.048,35.84,15.36
rose,small,mild,94.9,4.745,3.796,66.43,28.47
shoeblack plant,medium,mild,143.07,7.1535,5.7228,100.149,42.921
rose,small,strong,68.67,3.4335,2.7468,48.069,20.601
shoeblack plant,medium,mild,131.17,6.5585,5.2468,91.819,39.351
shoeblack plant,medium,none,93.15,4.6575,3.726,65.205,27.945
rose,small,mild,99.03,4.9515,3.9612,69.321,29.709
hibiscus,large,none,159.33,7.9665,6.3732,111.531,47.799
shoeblack plant,large,none,84.81,4.2405,3.3924,59.367,25.443
rose,medium,strong,31.27,1.5635,1.2508,21.889,9.381
shoeblack plant,medium,mild,50.89,2.5445,2.0356,35.623,15.267
hibiscus,large,none,147.82,7.391,5.9128,103.474,44.346
hibiscus,large,none,183.22,9.161,7.3288,128.254,54.966
hibiscus,large,none,191.37,9.5685,7.6548,133.959,57.411
shoeblack plant,large,mild,103.98,5.199,4.1592,72.786,31.194
hibiscus,large,none,140.08,7.004,5.6032,98.056,42.024
rose,medium,mild,80.8,4.04,3.232,56.56,24.24
hibiscus,large,none,102.94,5.147,4.1176,72.058,30.882
shoeblack plant,medium,none,51.14,2.557,2.0456,35.798,15.342
hibiscus,large,none,193.43,9.6715,7.7372,135.401,58.029
shoeblack plant,medium,none,79.94,3.997,3.1976,55.958,23.982
hibiscus,large,none,189.15,9.4575,7.566,132.405,56.745
rose,small,strong,69.21,3.4605,2.7684,48.447,20.763
rose,medium,mild,33.66,1.683,1.3464,23.562,10.098
shoeblack plant,medium,mild,101.93,5.0965,4.0772,71.351,30.579
rose,medium,mild,39.74,1.987,1.5896,27.818,11.922
shoeblack plant,medium,none,142.53,7.1265,5.7012,99.771,42.759
rose,small,strong,93.7,4.685,3.748,65.59,28.11
hibiscus,large,none,138.05,6.9025,5.522,96.635,41.415
rose,medium,strong,86.24,4.312,3.4496,60.368,25.872
rose,medium,mild,60.81,3.0405,2.4324,42.567,18.243
shoeblack plant,medium,mild,121.96,6.098,4.8784,85.372,36.588
hibiscus,large,none,191.77,9.5885,7.6708,134.239,57.531
shoeblack plant,medium,none,56.01,2.8005,2.2404,39.207,16.803
rose,medium,strong,42.83,2.1415,1.7132,29.981,12.849
shoeblack plant,large,none,63.87,3.1935,2.5548,44.709,19.161
rose,small,strong,88.37,4.4185,3.5348,61.859,26.511
rose,small,strong,57.21,2.8605,2.2884,40.047,17.163
rose,small,strong,84.74,4.237,3.3896,59.318,25.422
hibiscus,large,none,183.28,9.164,7.3312,128.296,54.984
hibiscus,large,none,129.67,6.4835,5.1868,90.769,38.901
hibiscus,large,none,107.69,5.3845,4.3076,75.383,32.307
shoeblack plant,medium,mild,144.43,7.2215,5.7772,101.101,43.329
hibiscus,large,none,199.17,9.9585,7.9668,139.419,59.751
shoeblack plant,medium,none,99.38,4.969,3.9752,69.566,29.814
rose,small,strong,56.49,2.8245,2.2596,39.543,16.947
rose,medium,mild,30.85,1.5425,1.234,21.595,9.255
hibiscus,large,none,198.21,9.9105,7.9284,138.747,59.463
rose,small,mild,77.78,3.889,3.1112,54.446,23.334
rose,small,strong,37.65,1.8825,1.506,26.355,11.295
rose,medium,mild,37.11,1.8555,1.4844,25.977,11.133
shoeblack plant,large,none,69.4,3.47,2.776,48.58,20.82
shoeblack plant,medium,mild,96.16,4.808,3.8464,67.312,28.848
hibiscus,large,none,168.51,8.4255,6.7404,117.957,50.553
hibiscus,large,none,199.33,9.9665,7.9732,139.531,59.799
rose,small,mild,98.22,4.911,3.9288,68.754,29.466
shoeblack plant,large,none,78.89,3.9445,3.1556,55.223,23.667
hibiscus,large,none,133.34,6.667,5.3336,93.338,40.002
rose,small,mild,35.93,1.7965,1.4372,25.151,10.779
hibiscus,large,none,129.26,6.463,5.1704,90.482,38.778
shoeblack plant,large,none,105.89,5.2945,4.2356,74.123,31.767
hibiscus,large,none,187.91,9.3955,7.5164,131.537,56.373
shoeblack plant,large,none,84.83,4.2415,3.3932,59.381,25.449
rose,medium,mild,35.99,1.7995,1.4396,25.193,10.797
hibiscus,large,none,106.73,5.3365,4.2692,74.711,32.019
rose,medium,mild,60.34,3.017,2.4136,42.238,18.102
hibiscus,large,none,112.95,5.6475,4.518,79.065,33.885
shoeblack plant,medium,mild,82.89,4.1445,3.3156,58.023,24.867
rose,medium,mild,73.41,3.6705,2.9364,51.387,22.023
hibiscus,large,none,114.4,5.72,4.576,80.08,34.32
hibiscus,large,none,183.75,9.1875,7.35,128.625,55.125
shoeblack plant,large,mild,78.39,3.9195,3.1356,54.873,23.517
rose,medium,mild,48.25,2.4125,1.93,33.775,14.475
shoeblack plant,medium,mild,76.29,3.8145,3.0516,53.403,22.887
rose,medium,strong,75.15,3.7575,3.006,52.605,22.545
rose,medium,strong,31.13,1.5565,1.2452,21.791,9.339
shoeblack plant,large,mild,99.6,4.98,3.984,69.72,29.88
shoeblack plant,medium,mild,123.28,6.164,4.9312,86.296,36.984
shoeblack plant,medium,mild,67.86,3.393,2.7144,47.502,20.358
shoeblack plant,large,none,140.5,7.025,5.62,98.35,42.15
rose,small,strong,71.24,3.562,2.8496,49.868,21.372
rose,medium,mild,96.77,4.8385,3.8708,67.739,29.031
rose,small,strong,61.97,3.0985,2.4788,43.379,18.591
shoeblack plant,large,mild,74.28,3.714,2.9712,51.996,22.284
shoeblack plant,large,mild,63.53,3.1765,2.5412,44.471,19.059
shoeblack plant,medium,none,149.32,7.466,5.9728,104.524,44.796
shoeblack plant,large,mild,89.45,4.4725,3.578,62.615,26.835
hibiscus,large,none,199.23,9.9615,7.9692,139.461,59.769
hibiscus,large,none,168.69,8.4345,6.7476,118.083,50.607
shoeblack plant,large,none,111.91,5.5955,4.4764,78.337,33.573
shoeblack plant,large,none,94.33,4.7165,3.7732,66.031,28.299
shoeblack plant,medium,none,145.24,7.262,5.8096,101.668,43.572
rose,small,mild,62.99,3.1495,2.5196,44.093,18.897
rose,small,mild,96.92,4.846,3.8768,67.844,29.076
rose,medium,strong,95.67,4.7835,3.8268,66.969,28.701
shoeblack plant,large,none,129.43,6.4715,5.1772,90.601,38.829
hibiscus,large,none,198.19,9.9095,7.9276,138.733,59.457
hibiscus,large,none,190.4,9.52,7.616,133.28,57.12
shoeblack plant,medium,none,83.83,4.1915,3.3532,58.681,25.149
hibiscus,large,none,115.43,5.7715,4.6172,80.801,34.629
rose,medium,strong,90.59,4.5295,3.6236,63.413,27.177
shoeblack plant,medium,mild,103.29,5.1645,4.1316,72.303,30.987
hibiscus,large,none,114.37,5.7185,4.5748,80.059,34.311
rose,medium,strong,32.72,1.636,1.3088,22.904,9.816
shoeblack plant,medium,none,79.98,3.999,3.1992,55.986,23.994
shoeblack plant,medium,mild,87.78,4.389,3.5112,61.446,26.334
rose,medium,mild,30.27,1.5135,1.2108,21.189,9.081
rose,medium,mild,80.7,4.035,3.228,56.49,24.21
hibiscus,large,none,148.45,7.4225,5.938,103.915,44.535
rose,small,strong,61.41,3.0705,2.4564,42.987,18.423
rose,small,strong,88.86,4.443,3.5544,62.202,26.658
rose,small,strong,62.22,3.111,2.4888,43.554,18.666
hibiscus,large,none,129.51,6.4755,5.1804,90.657,38.853
rose,small,mild,69.67,3.4835,2.7868,48.769,20.901
rose,small,mild,49.83,2.4915,1.9932,34.881,14.949
hibiscus,large,none,154.04,7.702,6.1616,107.828,46.212
rose,medium,strong,85.94,4.297,3.4376,60.158,25.782
hibiscus,large,none,139.49,6.9745,5.5796,97.643,41.847
shoeblack plant,medium,none,149.18,7.459,5.9672,104.426,44.754
shoeblack plant,medium,mild,82.91,4.1455,3.3164,58.037,24.873
shoeblack plant,medium,mild,83.59,4.1795,3.3436,58.513,25.077
hibiscus,large,none,106.64,5.332,4.2656,74.648,31.992
rose,medium,mild,95.47,4.7735,3.8188,66.829,28.641
rose,medium,strong,95.86,4.793,3.8344,67.102,28.758
hibiscus,large,none,112.13,5.6065,4.4852,78.491,33.639
shoeblack plant,medium,mild,96.48,4.824,3.8592,67.536,28.944
hibiscus,large,none,185.16,9.258,7.4064,129.612,55.548
shoeblack plant,medium,none,74.12,3.706,2.9648,51.884,22.236
rose,small,mild,88.51,4.4255,3.5404,61.957,26.553
hibiscus,large,none,194.84,9.742,7.7936,136.388,58.452
hibiscus,large,none,112.8,5.64,4.512,78.96,33.84
hibiscus,large,none,122.85,6.1425,4.914,85.995,36.855
shoeblack plant,medium,mild,98.53,4.9265,3.9412,68.971,29.559
rose,small,mild,79.67,3.9835,3.1868,55.769,23.901
shoeblack plant,medium,none,95.99,4.7995,3.8396,67.193,28.797
rose,medium,strong,94.26,4.713,3.7704,65.982,28.278
hibiscus,large,none,183.96,9.198,7.3584,128.772,55.188
hibiscus,large,none,126.53,6.3265,5.0612,88.571,37.959
shoeblack plant,large,mild,61.97,3.0985,2.4788,43.379,18.591
hibiscus,large,none,161.15,8.0575,6.446,112.805,48.345
shoeblack plant,large,mild,114.98,5.749,4.5992,80.486,34.494
shoeblack plant,medium,mild,67.85,3.3925,2.714,47.495,20.355
hibiscus,large,none,144.31,7.2155,5.7724,101.017,43.293
shoeblack plant,medium,mild,145.93,7.2965,5.8372,102.151,43.779
shoeblack plant,large,none,148.36,7.418,5.9344,103.852,44.508
hibiscus,large,none,103.1,5.155,4.124,72.17,30.93
shoeblack plant,large,mild,58.17,2.9085,2.3268,40.719,17.451
rose,small,strong,55.81,2.7905,2.2324,39.067,16.743
rose,medium,strong,84.37,4.2185,3.3748,59.059,25.311
rose,small,mild,50.53,2.5265,2.0212,35.371,15.159
shoeblack plant,large,none,89.03,4.4515,3.5612,62.321,26.709
hibiscus,large,none,183.54,9.177,7.3416,128.478,55.062
rose,medium,strong,79.54,3.977,3.1816,55.678,23.862
rose,small,strong,92.64,4.632,3.7056,64.848,27.792
rose,medium,mild,54.51,2.7255,2.1804,38.157,16.353
rose,medium,mild,56.43,2.8215,2.2572,39.501,16.929
rose,small,mild,44.33,2.2165,1.7732,31.031,13.299
rose,medium,strong,60.13,3.0065,2.4052,42.091,18.039
hibiscus,large,none,137.14,6.857,5.4856,95.998,41.142
shoeblack plant,medium,none,73.24,3.662,2.9296,51.268,21.972
hibiscus,large,none,103.31,5.1655,4.1324,72.317,30.993
rose,medium,strong,99.75,4.9875,3.99,69.825,29.925
shoeblack plant,large,mild,139.26,6.963,5.5704,97.482,41.778
hibiscus,large,none,148.96,7.448,5.9584,104.272,44.688
rose,small,mild,76.19,3.8095,3.0476,53.333,22.857
rose,small,mild,43.67,2.1835,1.7468,30.569,13.101
rose,medium,strong,80.69,4.0345,3.2276,56.483,24.207
hibiscus,large,none,145.28,7.264,5.8112,101.696,43.584
rose,medium,strong,95.79,4.7895,3.8316,67.053,28.737
hibiscus,large,none,112.47,5.6235,4.4988,78.729,33.741
rose,medium,strong,76.66,3.833,3.0664,53.662,22.998
hibiscus,large,none,122.69,6.1345,4.9076,85.883,36.807
hibiscus,large,none,103.13,5.1565,4.1252,72.191,30.939
rose,medium,strong,80.8,4.04,3.232,56.56,24.24
shoeblack plant,medium,mild,96.5,4.825,3.86,67.55,28.95
hibiscus,large,none,197.54,9.877,7.9016,138.278,59.262
hibiscus,large,none,198.94,9.947,7.9576,139.258,59.682
shoeblack plant,medium,mild,138.69,6.9345,5.5476,97.083,41.607
rose,medium,strong,40.37,2.0185,1.6148,28.259,12.111
shoeblack plant,large,none,145.24,7.262,5.8096,101.668,43.572
shoeblack plant,large,none,123.58,6.179,4.9432,86.506,37.074
shoeblack plant,medium,none,78.47,3.9235,3.1388,54.929,23.541
hibiscus,large,none,103.87,5.1935,4.1548,72.709,31.161
hibiscus,large,none,152.25,7.6125,6.09,106.575,45.675
hibiscus,large,none,185.74,9.287,7.4296,130.018,55.722
shoeblack plant,medium,mild,87.15,4.3575,3.486,61.005,26.145
shoeblack plant,medium,none,125.79,6.2895,5.0316,88.053,37.737
shoeblack plant,medium,mild,145.91,7.2955,5.8364,102.137,43.773
hibiscus,large,none,153.78,7.689,6.1512,107.646,46.134
rose,medium,strong,62.56,3.128,2.5024,43.792,18.768
rose,medium,mild,64.77,3.2385,2.5908,45.339,19.431
shoeblack plant,medium,none,131.14,6.557,5.2456,91.798,39.342
hibiscus,large,none,102.32,5.116,4.0928,71.624,30.696
rose,medium,strong,52.73,2.6365,2.1092,36.911,15.819
rose,small,strong,73.12,3.656,2.9248,51.184,21.936
rose,medium,mild,83.82,4.191,3.3528,58.674,25.146
hibiscus,large,none,147.59,7.3795,5.9036,103.313,44.277
rose,small,strong,77.48,3.874,3.0992,54.236,23.244
hibiscus,large,none,169.64,8.482,6.7856,118.748,50.892
rose,small,strong,98.56,4.928,3.9424,68.992,29.568
hibiscus,large,none,128.47,6.4235,5.1388,89.929,38.541
rose,medium,mild,67.09,3.3545,2.6836,46.963,20.127
shoeblack plant,medium,none,118.69,5.9345,4.7476,83.083,35.607
rose,medium,mild,79.61,3.9805,3.1844,55.727,23.883
rose,small,mild,42.24,2.112,1.6896,29.568,12.672
shoeblack plant,large,none,112.02,5.601,4.4808,78.414,33.606
shoeblack plant,large,mild,67.03,3.3515,2.6812,46.921,20.109
shoeblack plant,medium,mild,69.59,3.4795,2.7836,48.713,20.877
shoeblack plant,large,none,144.23,7.2115,5.7692,100.961,43.269
shoeblack plant,large,none,77.62,3.881,3.1048,54.334,23.286
shoeblack plant,medium,none,127.12,6.356,5.0848,88.984,38.136
rose,medium,mild,89.77,4.4885,3.5908,62.839,26.931
shoeblack plant,large,none,89.36,4.468,3.5744,62.552,26.808
rose,small,mild,40.52,2.026,1.6208,28.364,12.156
rose,small,strong,49.3,2.465,1.972,34.51,14.79
shoeblack plant,large,none,125.4,6.27,5.016,87.78,37.62
shoeblack plant,large,none,73.37,3.6685,2.9348,51.359,22.011
rose,small,strong,97.2,4.86,3.888,68.04,29.16
hibiscus,large,none,141.56,7.078,5.6624,99.092,42.468
rose,small,strong,71.92,3.596,2.8768,50.344,21.576
shoeblack plant,large,none,91.34,4.567,3.6536,63.938,27.402
shoeblack plant,large,none,76.45,3.8225,3.058,53.515,22.935
hibiscus,large,none,130.54,6.527,5.2216,91.378,39.162
hibiscus,large,none,150.82,7.541,6.0328,105.574,45.246
hibiscus,large,none,101.04,5.052,4.0416,70.728,30.312
rose,medium,mild,44.48,2.224,1.7792,31.136,13.344
rose,small,strong,39.61,1.9805,1.5844,27.727,11.883
hibiscus,large,none,173.88,8.694,6.9552,121.716,52.164
rose,small,strong,53.43,2.6715,2.1372,37.401,16.029
hibiscus,large,none,142.53,7.1265,5.7012,99.771,42.759
shoeblack plant,medium,none,50.55,2.5275,2.022,35.385,15.165
rose,small,mild,30.72,1.536,1.2288,21.504,9.216
shoeblack plant,large,mild,126.67,6.3335,5.0668,88.669,38.001
shoeblack plant,medium,none,60.02,3.001,2.4008,42.014,18.006
hibiscus,large,none,124.39,6.2195,4.9756,87.073,37.317
hibiscus,large,none,169.58,8.479,6.7832,118.706,50.874
shoeblack plant,medium,mild,118.62,5.931,4.7448,83.034,35.586
hibiscus,large,none,175.09,8.7545,7.0036,122.563,52.527
rose,medium,mild,71.55,3.5775,2.862,50.085,21.465
shoeblack plant,large,mild,119.14,5.957,4.7656,83.398,35.742
shoeblack plant,medium,none,99.03,4.9515,3.9612,69.321,29.709
shoeblack plant,large,mild,53.47,2.6735,2.1388,37.429,16.041
rose,medium,strong,44.79,2.2395,1.7916,31.353,13.437
shoeblack plant,large,none,115.41,5.7705,4.6164,80.787,34.623
rose,small,mild,40.33,2.0165,1.6132,28.231,12.099
shoeblack plant,large,none,94.05,4.7025,3.762,65.835,28.215
shoeblack plant,medium,none,107.29,5.3645,4.2916,75.103,32.187
hibiscus,large,none,114.18,5.709,4.5672,79.926,34.254
shoeblack plant,large,mild,72.48,3.624,2.8992,50.736,21.744
hibiscus,large,none,109.73,5.4865,4.3892,76.811,32.919
shoeblack plant,large,mild,62.67,3.1335,2.5068,43.869,18.801
rose,small,strong,70.31,3.5155,2.8124,49.217,21.093
shoeblack plant,medium,mild,145.26,7.263,5.8104,101.682,43.578
rose,small,mild,39.66,1.983,1.5864,27.762,11.898
hibiscus,large,none,100.05,5.0025,4.002,70.035,30.015
rose,small,mild,72.89,3.6445,2.9156,51.023,21.867
rose,small,strong,49.47,2.4735,1.9788,34.629,14.841
shoeblack plant,large,none,118.94,5.947,4.7576,83.258,35.682
hibiscus,large,none,107.33,5.3665,4.2932,75.131,32.199
shoeblack plant,large,none,50.4,2.52,2.016,35.28,15.12
rose,medium,mild,93.35,4.6675,3.734,65.345,28.005
hibiscus,large,none,171.99,8.5995,6.8796,120.393,51.597
rose,medium,strong,72.22,3.611,2.8888,50.554,21.666
rose,small,strong,94.37,4.7185,3.7748,66.059,28.311
hibiscus,large,none,103.37,5.1685,4.1348,72.359,31.011
rose,small,strong,84.04,4.202,3.3616,58.828,25.212
hibiscus,large,none,141.82,7.091,5.6728,99.274,42.546
shoeblack plant,medium,mild,142.14,7.107,5.6856,99.498,42.642
hibiscus,large,none,106.02,5.301,4.2408,74.214,31.806
shoeblack plant,medium,none,68.95,3.4475,2.758,48.265,20.685
rose,small,mild,31.62,1.581,1.2648,22.134,9.486
shoeblack plant,large,mild,92.06,4.603,3.6824,64.442,27.618
shoeblack plant,large,none,117.83,5.8915,4.7132,82.481,35.349
shoeblack plant,medium,none,138.82,6.941,5.5528,97.174,41.646
hibiscus,large,none,133.06,6.653,5.3224,93.142,39.918
rose,small,mild,92.57,4.6285,3.7028,64.799,27.771
hibiscus,large,none,103.7,5.185,4.148,72.59,31.11
rose,small,strong,68.69,3.4345,2.7476,48.083,20.607
rose,small,mild,50.37,2.5185,2.0148,35.259,15.111
shoeblack plant,medium,mild,135.23,6.7615,5.4092,94.661,40.569
shoeblack plant,medium,none,96.88,4.844,3.8752,67.816,29.064
rose,small,mild,74.53,3.7265,2.9812,52.171,22.359
hibiscus,large,none,199.33,9.9665,7.9732,139.531,59.799
rose,medium,strong,61.38,3.069,2.4552,42.966,18.414
rose,small,strong,47.05,2.3525,1.882,32.935,14.115
shoeblack plant,large,mild,98.13,4.9065,3.9252,68.691,29.439
rose,small,mild,31.61,1.5805,1.2644,22.127,9.483
shoeblack plant,large,mild,136.43,6.8215,5.4572,95.501,40.929
rose,small,mild,59.5,2.975,2.38,41.65,17.85
rose,medium,strong,71.43,3.5715,2.8572,50.001,21.429
rose,medium,strong,42.5,2.125,1.7,29.75,12.75
rose,small,mild,60.45,3.0225,2.418,42.315,18.135
shoeblack plant,large,mild,75.84,3.792,3.0336,53.088,22.752
hibiscus,large,none,146.72,7.336,5.8688,102.704,44.016
hibiscus,large,none,191.44,9.572,7.6576,134.008,57.432
hibiscus,large,none,107.9,5.395,4.316,75.53,32.37
shoeblack plant,medium,none,51.25,2.5625,2.05,35.875,15.375
rose,medium,strong,46.17,2.3085,1.8468,32.319,13.851
hibiscus,large,none,170.9,8.545,6.836,119.63,51.27
rose,medium,mild,38.77,1.9385,1.5508,27.139,11.631
shoeblack plant,medium,none,63.74,3.187,2.5496,44.618,19.122
shoeblack plant,medium,none,99.61,4.9805,3.9844,69.727,29.883
hibiscus,large,none,193.1,9.655,7.724,135.17,57.93
rose,small,mild,77.46,3.873,3.0984,54.222,23.238
hibiscus,large,none,161.56,8.078,6.4624,113.092,48.468
shoeblack plant,large,mild,140.73,7.0365,5.6292,98.511,42.219
rose,medium,mild,34.64,1.732,1.3856,24.248,10.392
shoeblack plant,large,none,54.88,2.744,2.1952,38.416,16.464
rose,medium,strong,80.2,4.01,3.208,56.14,24.06
hibiscus,large,none,158.45,7.9225,6.338,110.915,47.535
hibiscus,large,none,181.37,9.0685,7.2548,126.959,54.411
rose,medium,mild,85.9,4.295,3.436,60.13,25.77
hibiscus,large,none,103.3,5.165,4.132,72.31,30.99
shoeblack plant,large,mild,85.29,4.2645,3.4116,59.703,25.587
hibiscus,large,none,143.24,7.162,5.7296,100.268,42.972
hibiscus,large,none,132.1,6.605,5.284,92.47,39.63
shoeblack plant,large,none,141.47,7.0735,5.6588,99.029,42.441
shoeblack plant,medium,none,144.78,7.239,5.7912,101.346,43.434
rose,small,mild,97.22,4.861,3.8888,68.054,29.166
shoeblack plant,medium,mild,70,3.5,2.8,49,21
shoeblack plant,large,mild,105.21,5.2605,4.2084,73.647,31.563
hibiscus,large,none,182.43,9.1215,7.2972,127.701,54.729
hibiscus,large,none,112.5,5.625,4.5,78.75,33.75
shoeblack plant,medium,mild,76.87,3.8435,3.0748,53.809,23.061
shoeblack plant,medium,none,57.31,2.8655,2.2924,40.117,17.193
rose,medium,mild,72.68,3.634,2.9072,50.876,21.804
shoeblack plant,medium,none,53.15,2.6575,2.126,37.205,15.945
hibiscus,large,none,111.07,5.5535,4.4428,77.749,33.321
shoeblack plant,large,mild,68.65,3.4325,2.746,48.055,20.595
rose,medium,mild,43.44,2.172,1.7376,30.408,13.032
shoeblack plant,medium,none,72.47,3.6235,2.8988,50.729,21.741
rose,medium,strong,59.84,2.992,2.3936,41.888,17.952
rose,small,strong,77.1,3.855,3.084,53.97,23.13
rose,small,strong,77.2,3.86,3.088,54.04,23.16
hibiscus,large,none,121.57,6.0785,4.8628,85.099,36.471
hibiscus,large,none,165.05,8.2525,6.602,115.535,49.515
rose,medium,strong,89.25,4.4625,3.57,62.475,26.775
rose,small,mild,48.87,2.4435,1.9548,34.209,14.661
hibiscus,large,none,114.25,5.7125,4.57,79.975,34.275
hibiscus,large,none,195.44,9.772,7.8176,136.808,58.632
shoeblack plant,large,none,95.06,4.753,3.8024,66.542,28.518
hibiscus,large,none,194.95,9.7475,7.798,136.465,58.485
rose,small,mild,40.83,2.0415,1.6332,28.581,12.249
hibiscus,large,none,122.83,6.1415,4.9132,85.981,36.849
rose,medium,mild,67.31,3.3655,2.6924,47.117,20.193
hibiscus,large,none,135.76,6.788,5.4304,95.032,40.728
hibiscus,large,none,161.75,8.0875,6.47,113.225,48.525
hibiscus,large,none,174.63,8.7315,6.9852,122.241,52.389
shoeblack plant,medium,none,135.27,6.7635,5.4108,94.689,40.581
rose,medium,mild,48.29,2.4145,1.9316,33.803,14.487
rose,small,mild,91.19,4.5595,3.6476,63.833,27.357
hibiscus,large,none,190.3,9.515,7.612,133.21,57.09
rose,small,mild,81.12,4.056,3.2448,56.784,24.336
rose,medium,mild,74.94,3.747,2.9976,52.458,22.482
hibiscus,large,none,129.17,6.4585,5.1668,90.419,38.751
rose,medium,strong,40.99,2.0495,1.6396,28.693,12.297
rose,medium,mild,41.85,2.0925,1.674,29.295,12.555
rose,medium,strong,93.96,4.698,3.7584,65.772,28.188
rose,medium,strong,91.71,4.5855,3.6684,64.197,27.513
hibiscus,large,none,191.75,9.5875,7.67,134.225,57.525
rose,small,mild,32.85,1.6425,1.314,22.995,9.855
hibiscus,large,none,116.79,5.8395,4.6716,81.753,35.037
hibiscus,large,none,158.72,7.936,6.3488,111.104,47.616
rose,medium,mild,61.35,3.0675,2.454,42.945,18.405
rose,small,mild,41.46,2.073,1.6584,29.022,12.438
rose,small,strong,38.57,1.9285,1.5428,26.999,11.571
shoeblack plant,medium,none,93.06,4.653,3.7224,65.142,27.918
hibiscus,large,none,181.14,9.057,7.2456,126.798,54.342
rose,small,strong,93.42,4.671,3.7368,65.394,28.026
rose,medium,mild,84.99,4.2495,3.3996,59.493,25.497
hibiscus,large,none,125.76,6.288,5.0304,88.032,37.728
hibiscus,large,none,173.11,8.6555,6.9244,121.177,51.933
